code,name,status,ok_1d,ok_1m,count_1d,count_1m
601777.SH,千里科技,Success,True,True,513,6526
600829.SH,人民同泰,Success,True,True,513,6526
600183.SH,生益科技,Success,True,True,513,6526
600598.SH,北大荒,Success,True,True,513,6526
688510.SH,航亚科技,Success,True,True,513,6526
601318.SH,中国平安,Success,True,True,513,6526
603688.SH,石英股份,Success,True,True,513,6526
688197.SH,首药控股-U,Success,True,True,513,6526
600570.SH,恒生电子,Success,True,True,513,6526
688475.SH,萤石网络,Success,True,True,513,6526
601666.SH,平煤股份,Success,True,True,513,6526
600489.SH,中金黄金,Success,True,True,513,6526
688401.SH,路维光电,Success,True,True,513,6526
600938.SH,中国海油,Success,True,True,513,6526
600415.SH,小商品城,Success,True,True,513,6526
603799.SH,华友钴业,Success,True,True,513,6526
603382.SH,海阳科技,Success,True,True,167,6526
600461.SH,洪城环境,Success,True,True,513,6526
603280.SH,南方路机,Success,True,True,513,6526
688184.SH,ST帕瓦,Success,True,True,513,6526
600517.SH,国网英大,Success,True,True,513,6526
600563.SH,法拉电子,Success,True,True,513,6526
600178.SH,东安动力,Success,True,True,513,6526
603268.SH,*ST松发,Success,True,True,513,6527
688577.SH,浙海德曼,Success,True,True,513,6527
603607.SH,京华激光,Success,True,True,513,6527
605151.SH,西上海,Success,True,True,513,6527
688118.SH,普元信息,Success,True,True,513,6527
688503.SH,聚和材料,Success,True,True,513,6527
601588.SH,北辰实业,Success,True,True,513,6527
688380.SH,中微半导,Success,True,True,513,6527
600308.SH,华泰股份,Success,True,True,513,6527
600713.SH,南京医药,Success,True,True,513,6527
603018.SH,华设集团,Success,True,True,513,6527
688707.SH,振华新材,Success,True,True,513,6527
603477.SH,巨星农牧,Success,True,True,513,6527
688368.SH,晶丰明源,Success,True,True,513,6527
688605.SH,先锋精科,Success,True,True,285,6527
603501.SH,豪威集团,Success,True,True,513,6527
688671.SH,碧兴物联,Success,True,True,513,6527
603858.SH,步长制药,Success,True,True,513,6527
600665.SH,天地源,Success,True,True,513,6527
688282.SH,理工导航,Success,True,True,513,6527
